"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUL2023.CR1","22247","meteo"
"TIMESTAMP","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_8_19_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_1_2_1","TA_1_3_1","TA_2_1_1_4_1","TA_2_1_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1","H2O_1_2_1","H2O_99_99_1_3_1","H2O_1_4_1","H2O_1_5_1","H2O_1_6_1","H2O_1_7_1","CO2_1_2_1","CO2_1_3_1","CO2_1_4_1","CO2_1_5_1","CO2_1_6_1","CO2_1_7_1"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg","","","","","","","","","","","",""
"","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:"
"2023-07-31 21:00:00",18,-2.773466,0.9783197,-55.42464,-5.914014,0,0,-53.26241,1.84806,1.845217,25.74718,1001.508,0,50.70507,28.38692,28.85276,29.08618,28.66539,26.83069,25.84298,25.68917,77.61427,76.12843,78.58976,83.11552,88.9224,97.96909,2.056,183.7331,0.85353,0.63411,0.01104,201.4292,-3.570657,-3.629613,-3.7508,-3.945683,-4.003547,-4.084885,355.7693,358.0485,367.001,402.4155,418.4033,428.0859
"2023-07-31 21:30:00",19,-1.939672,1.631939,-52.12437,-4.770972,0,0,-50.925,1.106006,1.694548,25.65448,1001.698,0,50.62458,28.0968,28.6977,28.99482,28.48457,26.277,25.63984,25.51957,78.17465,76.44514,79.24084,85.50385,90.40583,99.07957,2.457,169.485,1.34964,0.92805,0.00276,166.8747,-3.656908,-3.904741,-3.978436,-4.004639,-4.242101,-4.307607,357.0932,361.6922,363.8826,394.6298,414.2067,431.4363
"2023-07-31 22:00:00",20,-2.488221,0.8433793,-50.88623,-5.252656,0,0,-48.96517,1.524011,1.728729,25.29033,1002.009,0,50.527,27.81232,28.24299,28.46448,28.14964,26.127,25.54327,25.43067,80.36399,78.68502,80.62831,86.261,90.97946,99.12951,1.960167,189.5063,1.13988,0.80316,0,0,-3.819583,-4.084884,-4.112725,-4.269395,-4.302148,-4.317979,357.9461,361.1736,364.3125,401.8764,407.3831,398.3691
"2023-07-31 22:30:00",21,-2.352162,1.243975,-51.12771,-4.05988,0,0,-50.66397,1.509841,1.751529,25.36731,1002.16,0,50.44049,27.37263,27.8561,28.19446,27.86065,26.13955,25.31781,25.14464,82.12338,80.01672,81.95389,86.58011,91.73547,99.22097,2.033833,174.1999,1.00809,0.74244,0.0069,157.219,-3.962059,-4.263391,-4.153163,-4.275489,-4.341508,-4.547457,359.9386,365.0153,369.9564,386.7981,407.33,433.2574
"2023-07-31 23:00:00",22,-1.88701,1.446395,-50.69352,-4.331336,0,0,-49.69558,1.060601,1.700373,25.03785,1002.392,0,50.37007,27.29918,27.94155,28.16504,27.60154,25.76035,25.13764,24.9332,81.96451,80.14216,83.4647,88.78392,92.66918,99.22614,2.0795,138.4154,1.20957,0.78315,0.02691,131.1919,-3.927297,-4.26026,-4.407573,-4.509156,-4.664254,-4.722713,359.8047,365.8637,382.9423,396.7681,424.9861,427.8465
"2023-07-31 23:30:00",23,-2.826128,0.8644639,-50.91083,-5.042397,0,0,-49.55903,2.152615,1.908059,24.63033,1002.431,0,50.29161,26.96607,27.49093,27.65244,27.07568,25.2135,25.03634,24.88336,83.94398,82.56853,85.967,90.90565,93.08156,99.2328,1.405666,152.1142,0.32499,0.31119,0,0,-4.167411,-4.416377,-4.549888,-4.732342,-4.960709,-5.046931,360.5542,366.7233,375.4016,405.9153,441.2091,445.2617
"2023-08-01 00:00:00",24,-1.922118,0.6578358,-48.40587,-3.004794,0,0,-47.98103,1.592534,1.794448,24.52794,1002.275,0,50.20207,26.26986,26.83941,27.01573,26.6242,24.98582,24.82713,24.74636,87.48896,85.68653,88.11365,92.26884,94.08321,99.24586,1.535833,229.8943,1.04604,0.89148,0.00207,141.0423,-4.448237,-4.741741,-4.776259,-4.970141,-5.004045,-5.09473,364.9872,372.2332,374.3646,412.5272,413.6135,420.7951
"2023-08-01 00:30:00",25,-2.211751,0.5861483,-48.77893,-3.241812,0,0,-48.33502,1.427643,1.731943,24.30266,1001.985,0,50.13216,26.03852,26.50265,26.74296,26.34411,24.84891,24.80938,24.7198,89.60661,87.79361,89.96217,92.97892,94.43755,99.24718,1.793334,226.8858,0.84663,0.64653,0.00414,219.2692,-4.78507,-4.899212,-5.029745,-5.141128,-5.275436,-5.283101,367.11,375.1167,409.2663,416.7744,426.0226,411.2045
"2023-08-01 01:00:00",26,-2.251248,0.4891601,-48.59447,-3.398553,0,0,-47.93633,1.370813,1.70072,24.06462,1001.507,0,50.06928,25.82397,26.32296,26.51721,26.22547,24.52725,24.53635,24.47578,90.91458,89.16238,90.90808,94.47926,94.90701,99.25578,1.713,219.8199,0.89562,0.57753,0,0,-4.804784,-5.095233,-5.185985,-5.436099,-5.489007,-5.507649,366.6466,376.1473,390.2237,438.5441,440.5288,464.9879
"2023-08-01 01:30:00",27,-1.838746,0.7421762,-46.86863,-2.806014,0,0,-46.64354,1.368029,1.715012,23.91233,1001.049,0,50.00943,25.52226,26.18213,26.27968,25.96464,24.23304,24.38349,24.31381,92.40134,90.51852,92.40202,95.41697,95.19627,99.26223,1.1935,225.7657,0.20838,0.2346,0,0,-4.876426,-5.130364,-5.416514,-5.488053,-5.515904,-5.378294,368.4092,374.2729,430.8531,433.5085,442.6689,418.1843
