"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","RadSensors"
"LINE","SECONDS","NANOSECONDS","RECORD","Incoming_SW_2_Avg","Outgoing_SW_2_Avg","Incoming_LW_2_Avg","Outgoing_LW_2_Avg","NetSW_2_Avg","NetLW_2_Avg","Net_radiation_2_Avg","mV_LWin_2_Avg","sensorbody_temp_in_LW_2_Avg","mV_LWout_2_Avg","sensorbody_temp_out_LW_2_Avg","albedo_2_Avg"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","",""
"","","","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
2663,1056745320,0,6064,-2.48,0,404.06,459.15,-2.47,-55.11,-57.58,-6.696,27.55,-0.924,28.11,0.003
2664,1056745380,0,6065,-2.48,0,404.04,459.39,-2.47,-55.44,-57.92,-6.71,27.56,-0.916,28.13,0.003
2665,1056745440,0,6066,-2.46,0,403.93,459.45,-2.45,-55.49,-57.94,-6.727,27.58,-0.925,28.15,0
2666,1056745500,0,6067,-2.48,0,403.85,459.58,-2.49,-55.75,-58.24,-6.745,27.59,-0.914,28.16,0
2667,1056745560,0,6068,-2.44,0,403.92,459.89,-2.44,-56.04,-58.48,-6.751,27.61,-0.898,28.18,0
2668,1056745620,0,6069,-2.39,-0.01,403.76,459.8,-2.42,-56.12,-58.53,-6.779,27.63,-0.919,28.2,0.003
2669,1056745680,0,6070,-2.48,0,403.91,460.14,-2.48,-56.31,-58.79,-6.79,27.66,-0.896,28.23,0
2670,1056745740,0,6071,-2.46,0,403.25,459.17,-2.46,-56,-58.46,-6.835,27.63,-0.981,28.2,0.003
2671,1056745800,0,6072,-2.63,0,403.29,459.44,-2.6,-56.19,-58.79,-6.807,27.6,-0.939,28.17,0.003
2672,1056745860,0,6073,-2.52,-0.005,403.405,459.54,-2.55,-56.09,-58.64,-6.788,27.59,-0.929,28.16,0.006
2673,1056745920,0,6074,-2.48,-0.01,403.39,459.61,-2.48,-56.15,-58.63,-6.791,27.6,-0.927,28.16,0
2674,1056745980,0,6075,-2.52,-0.01,403.3,459.61,-2.49,-56.31,-58.8,-6.806,27.59,-0.924,28.16,0
2675,1056746040,0,6076,-2.5,-0.005,402.99,459.32,-2.47,-56.35,-58.82,-6.826,27.57,-0.938,28.14,0.006
2676,1056746100,0,6077,-2.455,-0.005,402.955,459.18,-2.5,-56.38,-58.88,-6.816,27.56,-0.926,28.13,0.003
2677,1056746160,0,6078,-2.465,-0.005,402.86,459.08,-2.41,-56.13,-58.54,-6.82,27.55,-0.957,28.12,0.003
2678,1056746220,0,6079,-2.54,-0.01,402.85,459.17,-2.53,-56.37,-58.9,-6.802,27.52,-0.914,28.09,0.003
2679,1056746280,0,6080,-2.49,-0.005,402.85,459.11,-2.48,-56.3,-58.78,-6.788,27.5,-0.91,28.07,0
2680,1056746340,0,6081,-2.47,-0.005,402.905,459.185,-2.47,-56.28,-58.75,-6.781,27.47,-0.899,28.05,0.003
2681,1056746400,0,6082,-2.44,0,402.99,459.29,-2.49,-56.37,-58.86,-6.762,27.47,-0.88,28.04,0.003
2682,1056746460,0,6083,-2.48,-0.01,402.64,458.795,-2.39,-56.19,-58.57,-6.777,27.44,-0.905,28.01,0.003
2683,1056746520,0,6084,-2.435,-0.005,402.485,458.78,-2.51,-56.21,-58.72,-6.756,27.42,-0.877,27.99,0.006
2684,1056746580,0,6085,-2.35,0,402.29,458.72,-2.37,-56.46,-58.83,-6.794,27.41,-0.89,27.98,0
2685,1056746640,0,6086,-2.42,-0.01,402.22,458.93,-2.42,-56.76,-59.18,-6.784,27.39,-0.85,27.96,0.003
2686,1056746700,0,6087,-2.35,0,402.07,458.66,-2.3,-56.56,-58.87,-6.797,27.38,-0.876,27.96,0.007
2687,1056746760,0,6088,-2.44,-0.01,401.95,458.5,-2.45,-56.57,-59.02,-6.795,27.35,-0.885,27.93,0.003
2688,1056746820,0,6089,-2.39,0,402.11,458.9,-2.39,-56.81,-59.21,-6.788,27.35,-0.855,27.92,0
2689,1056746880,0,6090,-2.31,-0.01,401.83,458.55,-2.35,-56.69,-59.04,-6.794,27.33,-0.868,27.9,0
2690,1056746940,0,6091,-2.33,-0.01,401.73,458.69,-2.32,-56.95,-59.27,-6.802,27.33,-0.852,27.9,0
2691,1056747000,0,6092,-2.31,-0.01,401.53,458.56,-2.28,-57.04,-59.32,-6.818,27.33,-0.858,27.89,0.003
2692,1056747060,0,6093,-2.31,0,401.45,458.64,-2.31,-57.2,-59.51,-6.82,27.33,-0.849,27.89,0
2693,1056747120,0,6094,-2.27,0.01,401.6,458.56,-2.29,-57.01,-59.3,-6.813,27.33,-0.856,27.9,0
2694,1056747180,0,6095,-2.31,-0.01,401.66,458.6,-2.26,-56.88,-59.14,-6.807,27.33,-0.873,27.9,0.007
2695,1056747240,0,6096,-2.35,-0.01,401.93,458.55,-2.35,-56.62,-58.97,-6.769,27.32,-0.854,27.89,0.003
2696,1056747300,0,6097,-2.29,-0.01,402.31,458.56,-2.27,-56.31,-58.59,-6.726,27.32,-0.837,27.89,0
2697,1056747360,0,6098,-2.29,0,402.62,458.87,-2.29,-56.36,-58.65,-6.713,27.34,-0.825,27.9,0.004
2698,1056747420,0,6099,-2.21,0,402.6,458.65,-2.21,-56.05,-58.25,-6.717,27.36,-0.861,27.92,0
2699,1056747480,0,6100,-2.27,-0.01,402.72,458.69,-2.25,-56.02,-58.26,-6.72,27.37,-0.87,27.93,0
2700,1056747540,0,6101,-2.27,-0.01,402.77,458.91,-2.28,-56.13,-58.41,-6.723,27.38,-0.854,27.95,0
2701,1056747600,0,6102,-2.27,-0.005,402.77,458.99,-2.29,-56.24,-58.53,-6.727,27.4,-0.85,27.96,0
2702,1056747660,0,6103,-2.31,-0.005,402.715,458.87,-2.27,-56.2,-58.47,-6.738,27.41,-0.864,27.97,0
2703,1056747720,0,6104,-2.36,0,402.69,458.95,-2.34,-56.14,-58.49,-6.739,27.4,-0.867,27.96,-0.003
2704,1056747780,0,6105,-2.37,0,402.725,459.37,-2.37,-56.46,-58.83,-6.738,27.4,-0.84,27.96,0.003
2705,1056747840,0,6106,-2.36,-0.005,402.66,459.655,-2.39,-56.92,-59.31,-6.742,27.42,-0.794,27.98,-0.003
2706,1056747900,0,6107,-2.395,0,402.445,459.715,-2.35,-57.13,-59.49,-6.778,27.43,-0.808,28,0
2707,1056747960,0,6108,-2.43,0,402.26,459.73,-2.39,-57.49,-59.87,-6.808,27.43,-0.802,28,0.003
2708,1056748020,0,6109,-2.46,-0.005,401.975,459.43,-2.39,-57.53,-59.92,-6.833,27.43,-0.826,28,0.003
2709,1056748080,0,6110,-2.51,-0.005,401.65,458.945,-2.47,-57.43,-59.9,-6.85,27.41,-0.849,27.98,0
2710,1056748140,0,6111,-2.52,-0.01,401.54,458.7,-2.51,-57.22,-59.74,-6.849,27.37,-0.873,27.94,0
2711,1056748200,0,6112,-2.595,-0.01,401.285,457.915,-2.53,-56.73,-59.27,-6.837,27.3,-0.907,27.88,0
2712,1056748260,0,6113,-2.67,-0.01,401.42,457.96,-2.63,-56.47,-59.1,-6.784,27.25,-0.886,27.83,0.003
2713,1056748320,0,6114,-2.58,-0.01,401.27,457.32,-2.6,-56.08,-58.68,-6.751,27.18,-0.88,27.76,0.003
2714,1056748380,0,6115,-2.58,0,401.32,457.48,-2.62,-56.15,-58.77,-6.714,27.13,-0.849,27.71,0.003
2715,1056748440,0,6116,-2.56,-0.01,401.26,457.3,-2.58,-56.12,-58.69,-6.698,27.09,-0.838,27.67,0.006
2716,1056748500,0,6117,-2.5,0,401.04,457,-2.48,-55.98,-58.46,-6.707,27.06,-0.859,27.64,0.003
2717,1056748560,0,6118,-2.56,-0.02,400.52,456.32,-2.55,-55.82,-58.37,-6.715,27,-0.886,27.58,0.003
2718,1056748620,0,6119,-2.65,-0.01,400.64,456.54,-2.67,-55.96,-58.63,-6.676,26.95,-0.824,27.53,0
2719,1056748680,0,6120,-2.42,-0.01,400.66,456.82,-2.39,-56.22,-58.61,-6.671,26.95,-0.793,27.53,0
2720,1056748740,0,6121,-2.37,0,400.45,456.61,-2.39,-56.11,-58.5,-6.688,26.94,-0.824,27.52,0
2721,1056748800,0,6122,-2.46,-0.01,400.32,456.33,-2.46,-56.05,-58.51,-6.685,26.92,-0.831,27.5,0
2722,1056748860,0,6123,-2.44,0,399.75,455.21,-2.47,-55.52,-58,-6.691,26.86,-0.892,27.43,0.003
2723,1056748920,0,6124,-2.6,-0.01,400.15,455.63,-2.56,-55.51,-58.08,-6.641,26.82,-0.844,27.39,0.003
2724,1056748980,0,6125,-2.46,0,400.57,455.88,-2.42,-55.28,-57.7,-6.585,26.81,-0.808,27.38,0.003
2725,1056749040,0,6126,-2.46,-0.01,400.8,455.98,-2.44,-55.14,-57.58,-6.564,26.8,-0.799,27.37,0
2726,1056749100,0,6127,-2.44,0,400.42,454.95,-2.45,-54.67,-57.12,-6.56,26.75,-0.84,27.32,0.003
2727,1056749160,0,6128,-2.58,-0.01,400.31,454.65,-2.58,-54.3,-56.88,-6.536,26.69,-0.87,27.26,0.006
2728,1056749220,0,6129,-2.48,0,400.64,455.24,-2.43,-54.6,-57.03,-6.479,26.67,-0.777,27.24,0
2729,1056749280,0,6130,-2.29,0,400.67,455.25,-2.34,-54.66,-57,-6.483,26.68,-0.769,27.25,0
2730,1056749340,0,6131,-2.29,-0.01,400.76,455.37,-2.29,-54.67,-56.96,-6.495,26.69,-0.787,27.27,0.003
2731,1056749400,0,6132,-2.39,0,400.51,455.19,-2.42,-54.82,-57.23,-6.526,26.69,-0.807,27.26,0
2732,1056749460,0,6133,-2.27,0,400.48,455.46,-2.29,-55.02,-57.31,-6.529,26.71,-0.778,27.28,-0.003
2733,1056749520,0,6134,-2.3,-0.005,400.365,455.585,-2.27,-55.18,-57.45,-6.561,26.73,-0.795,27.3,0
2734,1056749580,0,6135,-2.29,-0.005,400.445,455.675,-2.32,-55.36,-57.69,-6.567,26.74,-0.783,27.32,0
2735,1056749640,0,6136,-2.25,-0.01,400.48,455.65,-2.22,-55.17,-57.39,-6.571,26.76,-0.809,27.34,0
2736,1056749700,0,6137,-2.33,-0.01,400.475,455.4,-2.27,-54.89,-57.15,-6.574,26.75,-0.837,27.32,0
2737,1056749760,0,6138,-2.34,-0.01,400.435,455.275,-2.35,-54.98,-57.33,-6.539,26.73,-0.794,27.31,0.003
2738,1056749820,0,6139,-2.31,-0.01,400.29,454.98,-2.28,-54.7,-56.98,-6.561,26.72,-0.85,27.29,0.003
2739,1056749880,0,6140,-2.415,-0.01,400.19,454.51,-2.45,-54.35,-56.8,-6.524,26.66,-0.844,27.23,0.003
2740,1056749940,0,6141,-2.395,-0.01,400.22,454.53,-2.39,-54.27,-56.66,-6.505,26.61,-0.83,27.19,0.003
2741,1056750000,0,6142,-2.355,-0.015,400.255,454.595,-2.38,-54.38,-56.76,-6.467,26.58,-0.782,27.15,0.003
2742,1056750060,0,6143,-2.29,-0.02,400.2,454.53,-2.3,-54.39,-56.7,-6.46,26.55,-0.781,27.12,0
2743,1056750120,0,6144,-2.21,-0.02,400.14,454.26,-2.23,-54.14,-56.37,-6.446,26.51,-0.796,27.09,0.004
2744,1056750180,0,6145,-2.04,-0.01,400.11,454,-2.06,-53.92,-55.97,-6.417,26.48,-0.781,27.05,0.004
2745,1056750240,0,6146,-1.95,0,400.42,454.35,-1.9,-53.81,-55.72,-6.379,26.48,-0.756,27.05,0
2746,1056750300,0,6147,-1.87,0,400.48,453.91,-1.86,-53.47,-55.33,-6.381,26.47,-0.801,27.04,0.004
2747,1056750360,0,6148,-1.91,0,399.9,453.03,-1.92,-53.12,-55.04,-6.425,26.44,-0.87,27.02,0.008
2748,1056750420,0,6149,-2.27,-0.01,399.74,452.75,-2.28,-53.06,-55.34,-6.391,26.37,-0.846,26.95,0.003
2749,1056750480,0,6150,-2.29,-0.01,399.95,453.04,-2.27,-53.13,-55.4,-6.341,26.32,-0.792,26.9,0.007
2750,1056750540,0,6151,-2.06,0,400.02,453.16,-2.06,-53.14,-55.2,-6.324,26.31,-0.774,26.89,0
2751,1056750600,0,6152,-2,0,400.01,453.09,-2,-53.14,-55.13,-6.323,26.3,-0.772,26.88,0.004
2752,1056750660,0,6153,-1.95,-0.01,399.98,453.18,-1.95,-53.19,-55.14,-6.319,26.3,-0.764,26.87,0.004
2753,1056750720,0,6154,-2.04,0,400,453.09,-2.01,-53.05,-55.06,-6.301,26.28,-0.759,26.85,0.004
2754,1056750780,0,6155,-2.02,-0.01,399.91,452.77,-2.01,-52.87,-54.87,-6.286,26.24,-0.762,26.81,0.004
2755,1056750840,0,6156,-2,-0.01,399.77,452.41,-1.97,-52.66,-54.63,-6.284,26.2,-0.781,26.78,0
2756,1056750900,0,6157,-2.12,-0.01,399.6,451.91,-2.11,-52.4,-54.51,-6.243,26.13,-0.764,26.71,0.007
2757,1056750960,0,6158,-1.87,0,399.54,452.17,-1.88,-52.64,-54.52,-6.244,26.11,-0.744,26.68,0.008
2758,1056751020,0,6159,-2,-0.02,399.24,451.87,-2.01,-52.63,-54.63,-6.248,26.06,-0.75,26.64,0.004
2759,1056751080,0,6160,-2.04,-0.01,399.1,451.69,-2.05,-52.63,-54.68,-6.235,26.02,-0.734,26.6,0.004
2760,1056751140,0,6161,-2.12,-0.01,398.95,451.61,-2.11,-52.67,-54.78,-6.236,25.99,-0.734,26.56,0.004
2761,1056751200,0,6162,-2.125,-0.005,398.29,450.9,-1.98,-52.66,-54.64,-6.25,25.95,-0.745,26.52,0.008
2762,1056751260,0,6163,-2.395,-0.015,397.805,450.42,-2.29,-52.53,-54.82,-6.249,25.88,-0.752,26.45,0.003
2763,1056751320,0,6164,-2.56,-0.02,397.51,450.17,-2.53,-52.74,-55.27,-6.258,25.77,-0.746,26.36,0.003
2764,1056751380,0,6165,-2.475,-0.015,397.62,450.13,-2.58,-52.61,-55.2,-6.198,25.68,-0.7,26.27,0.006
2765,1056751440,0,6166,-2.285,-0.01,397.865,450.15,-2.36,-52.41,-54.77,-6.135,25.63,-0.654,26.22,0.003
2766,1056751500,0,6167,-2.16,-0.015,397.94,450.055,-2.16,-52.18,-54.34,-6.088,25.6,-0.635,26.18,0.007
2767,1056751560,0,6168,-2.15,-0.02,398.065,450.27,-2.15,-52.08,-54.23,-6.08,25.57,-0.643,26.15,0.004
2768,1056751620,0,6169,-2.12,-0.015,398.09,450.545,-2.13,-52.37,-54.51,-6.049,25.57,-0.572,26.15,0
2769,1056751680,0,6170,-1.995,0,398.02,450.67,-2.08,-52.53,-54.61,-6.062,25.57,-0.576,26.15,0.004
2770,1056751740,0,6171,-1.91,0.01,398.07,450.82,-1.87,-52.77,-54.64,-6.065,25.6,-0.544,26.17,0
2771,1056751800,0,6172,-1.88,-0.01,397.885,450.8,-1.84,-52.89,-54.73,-6.109,25.64,-0.581,26.21,0.004
2772,1056751860,0,6173,-1.89,-0.01,397.8,450.68,-1.88,-52.89,-54.77,-6.14,25.66,-0.62,26.24,0.004
2773,1056751920,0,6174,-1.89,-0.02,397.59,450.38,-1.94,-52.9,-54.84,-6.143,25.66,-0.609,26.24,0
2774,1056751980,0,6175,-2.04,-0.01,397.55,450.47,-2.07,-52.98,-55.05,-6.164,25.65,-0.631,26.23,0.004
2775,1056752040,0,6176,-2,-0.02,397.54,450.18,-1.99,-52.65,-54.64,-6.143,25.64,-0.646,26.22,0.008
2776,1056752100,0,6177,-2.04,0,397.79,450.29,-1.99,-52.57,-54.56,-6.119,25.63,-0.633,26.2,0
2777,1056752160,0,6178,-1.95,0,397.67,450.18,-1.97,-52.61,-54.58,-6.126,25.61,-0.628,26.19,0.004
2778,1056752220,0,6179,-1.64,-0.01,397.42,449.61,-1.64,-52.15,-53.79,-6.161,25.62,-0.713,26.19,0.005
2779,1056752280,0,6180,-1.64,0.01,398,450.51,-1.63,-52.53,-54.16,-6.102,25.63,-0.616,26.2,0
2780,1056752340,0,6181,-1.62,0.01,398,450.68,-1.63,-52.67,-54.3,-6.127,25.67,-0.621,26.24,0
2781,1056752400,0,6182,-1.74,0,398.08,450.47,-1.74,-52.43,-54.18,-6.12,25.69,-0.639,26.25,0
2782,1056752460,0,6183,-1.81,0,397.91,450.08,-1.83,-52.2,-54.03,-6.132,25.68,-0.678,26.25,0
2783,1056752520,0,6184,-1.91,-0.02,397.76,449.71,-1.9,-51.98,-53.88,-6.135,25.65,-0.703,26.22,0.004
2784,1056752580,0,6185,-1.97,-0.01,397.61,449.55,-1.95,-51.96,-53.91,-6.123,25.61,-0.696,26.18,0.004
2785,1056752640,0,6186,-1.83,0,397.68,449.73,-1.8,-52.1,-53.9,-6.108,25.6,-0.669,26.17,0.004
2786,1056752700,0,6187,-1.74,0,397.5,449.6,-1.74,-52.11,-53.85,-6.124,25.6,-0.684,26.16,0.005
2787,1056752760,0,6188,-1.53,0.01,397.87,450.18,-1.55,-52.43,-53.99,-6.102,25.62,-0.628,26.18,-0.005
2788,1056752820,0,6189,-1.47,0,397.8,450.4,-1.35,-52.52,-53.88,-6.161,25.66,-0.679,26.23,-0.006
2789,1056752880,0,6190,-1.41,-0.01,397.8,450.41,-1.41,-52.61,-54.02,-6.148,25.69,-0.647,26.25,0
2790,1056752940,0,6191,-1.39,0.01,397.76,450.79,-1.37,-53.01,-54.39,-6.181,25.73,-0.633,26.29,0.006
2791,1056753000,0,6192,-1.45,0.02,397.77,451.08,-1.47,-53.32,-54.79,-6.208,25.77,-0.633,26.33,0
2792,1056753060,0,6193,-1.51,0.005,397.61,450.975,-1.48,-53.31,-54.79,-6.223,25.79,-0.646,26.34,-0.005
2793,1056753120,0,6194,-1.55,0.01,397.57,451,-1.58,-53.4,-54.98,-6.242,25.81,-0.65,26.36,-0.005
2794,1056753180,0,6195,-1.66,0.005,397.37,450.94,-1.68,-53.56,-55.24,-6.266,25.83,-0.672,26.37,0
2795,1056753240,0,6196,-1.7,0.005,397.205,450.74,-1.71,-53.55,-55.26,-6.284,25.83,-0.688,26.37,0
2796,1056753300,0,6197,-1.74,0,397.1,450.63,-1.79,-53.5,-55.29,-6.295,25.82,-0.699,26.36,0.004
2797,1056753360,0,6198,-1.8,-0.01,396.91,450.32,-1.78,-53.5,-55.28,-6.303,25.8,-0.722,26.34,0
2798,1056753420,0,6199,-1.81,-0.005,396.975,450.215,-1.81,-53.29,-55.09,-6.279,25.77,-0.707,26.31,0.004
2799,1056753480,0,6200,-1.785,0.005,397.125,450.31,-1.79,-53.15,-54.94,-6.258,25.75,-0.706,26.3,0
2800,1056753540,0,6201,-1.785,0,397.225,450.355,-1.81,-53.17,-54.98,-6.238,25.76,-0.679,26.3,0
2801,1056753600,0,6202,-1.84,0,397.21,450.215,-1.81,-53.03,-54.83,-6.25,25.76,-0.71,26.31,0
2802,1056753660,0,6203,-1.88,0,397.205,450.08,-1.88,-52.98,-54.86,-6.256,25.76,-0.722,26.31,0.004
2803,1056753720,0,6204,-1.89,0,397.055,449.88,-1.88,-52.83,-54.71,-6.248,25.75,-0.727,26.3,0.004
2804,1056753780,0,6205,-1.955,-0.005,396.95,449.98,-1.86,-52.89,-54.75,-6.267,25.73,-0.743,26.29,0
2805,1056753840,0,6206,-2.02,-0.01,397.02,450.24,-1.98,-53.26,-55.25,-6.25,25.73,-0.681,26.29,-0.004
2806,1056753900,0,6207,-1.87,-0.01,396.85,450.17,-1.87,-53.32,-55.19,-6.288,25.75,-0.719,26.31,0
2807,1056753960,0,6208,-1.85,-0.01,396.57,449.53,-1.82,-52.96,-54.78,-6.304,25.73,-0.77,26.28,0.004
2808,1056754020,0,6209,-2.04,-0.01,396.59,449.15,-2.08,-52.73,-54.81,-6.25,25.68,-0.722,26.24,0.004
2809,1056754080,0,6210,-2.21,0,396.97,449.95,-2.19,-53.06,-55.25,-6.226,25.65,-0.672,26.21,-0.004
2810,1056754140,0,6211,-1.87,-0.01,395.58,448.9,-1.83,-53.26,-55.1,-6.335,25.59,-0.765,26.15,0.009
2811,1056754200,0,6212,-1.76,-0.02,396.54,449.02,-1.87,-52.39,-54.26,-6.201,25.58,-0.722,26.14,0
2812,1056754260,0,6213,-1.58,0,396.47,450.08,-1.58,-53.62,-55.19,-6.25,25.63,-0.646,26.19,0
2813,1056754320,0,6214,-1.72,0.01,396.74,450.45,-1.7,-53.85,-55.55,-6.247,25.68,-0.622,26.23,-0.005
2814,1056754380,0,6215,-2,0.02,397.31,451.69,-1.97,-54.46,-56.43,-6.268,25.74,-0.589,26.3,-0.009
2815,1056754440,0,6216,-1.47,-0.01,396.28,450.56,-1.45,-54,-55.44,-6.323,25.79,-0.674,26.34,0
2816,1056754500,0,6217,-1.89,0,396.45,450.4,-1.89,-54.08,-55.97,-6.335,25.78,-0.691,26.32,0
2817,1056754560,0,6218,-2.16,0.01,396.59,450.84,-2.21,-54.25,-56.46,-6.348,25.76,-0.684,26.31,0
2818,1056754620,0,6219,-1.83,-0.01,395.81,449.47,-1.9,-53.76,-55.65,-6.36,25.73,-0.736,26.27,0
2819,1056754680,0,6220,-1.81,-0.01,395.79,449.45,-1.78,-53.7,-55.48,-6.365,25.71,-0.763,26.25,0.004
2820,1056754740,0,6221,-1.66,-0.01,395.82,448.91,-1.69,-53.32,-55.01,-6.324,25.7,-0.74,26.24,0
2821,1056754800,0,6222,-1.63,-0.015,396.08,449.885,-1.51,-53.42,-54.94,-6.359,25.72,-0.794,26.26,0.01
2822,1056754860,0,6223,-1.82,-0.005,396.07,450.285,-1.81,-54.31,-56.13,-6.341,25.75,-0.669,26.29,-0.004
2823,1056754920,0,6224,-1.81,0,395.83,449.93,-1.86,-54.18,-56.03,-6.382,25.75,-0.728,26.29,0
2824,1056754980,0,6225,-1.83,0.005,396.2,450.95,-1.79,-54.58,-56.36,-6.381,25.79,-0.674,26.34,0
2825,1056755040,0,6226,-1.85,0.01,396.435,451.43,-1.88,-54.89,-56.76,-6.392,25.83,-0.669,26.38,0
2826,1056755100,0,6227,-1.775,0.01,396.375,451.55,-1.81,-55.16,-56.97,-6.382,25.87,-0.618,26.42,0
2827,1056755160,0,6228,-1.795,0.005,396.195,451.51,-1.7,-55.24,-56.94,-6.461,25.92,-0.681,26.46,0
2828,1056755220,0,6229,-1.83,0,396.185,451.52,-1.86,-55.38,-57.24,-6.461,25.94,-0.683,26.48,0
2829,1056755280,0,6230,-1.85,0,395.88,451.1,-1.81,-55.39,-57.2,-6.491,25.96,-0.707,26.5,0
2830,1056755340,0,6231,-1.86,-0.005,395.585,450.825,-1.87,-55.2,-57.08,-6.518,25.93,-0.747,26.48,0
2831,1056755400,0,6232,-1.83,-0.005,395.46,450.925,-1.82,-55.4,-57.22,-6.521,25.91,-0.731,26.46,0.004
2832,1056755460,0,6233,-1.85,0,395.4,450.99,-1.82,-55.57,-57.39,-6.523,25.9,-0.716,26.44,0.004
2833,1056755520,0,6234,-1.93,-0.01,395.44,450.8,-1.88,-55.43,-57.32,-6.509,25.87,-0.72,26.41,0.004
2834,1056755580,0,6235,-1.91,-0.02,395.05,450.43,-1.93,-55.42,-57.35,-6.515,25.83,-0.721,26.37,0.004
2835,1056755640,0,6236,-1.89,0,394.86,450.33,-1.88,-55.48,-57.36,-6.512,25.79,-0.713,26.34,0.004
2836,1056755700,0,6237,-1.79,0.01,394.73,450.43,-1.81,-55.74,-57.55,-6.516,25.77,-0.694,26.32,0.004
2837,1056755760,0,6238,-1.79,0,394.8,450.68,-1.81,-55.9,-57.71,-6.511,25.78,-0.665,26.33,-0.004
2838,1056755820,0,6239,-1.74,0,394.7,450.61,-1.76,-55.87,-57.62,-6.526,25.78,-0.687,26.33,0
2839,1056755880,0,6240,-1.91,0,394.66,450.33,-1.91,-55.73,-57.64,-6.52,25.75,-0.697,26.3,0.004
2840,1056755940,0,6241,-1.87,-0.01,394.46,450.17,-1.86,-55.76,-57.63,-6.512,25.73,-0.685,26.28,0.004
2841,1056756000,0,6242,-1.76,-0.01,394.18,449.76,-1.84,-55.71,-57.55,-6.52,25.69,-0.699,26.24,0
2842,1056756060,0,6243,-1.87,-0.02,393.63,448.86,-1.83,-55.17,-57,-6.547,25.62,-0.789,26.18,0.004
2843,1056756120,0,6244,-2.21,-0.02,393.9,448.96,-2.16,-55.09,-57.25,-6.461,25.53,-0.707,26.08,0.004
2844,1056756180,0,6245,-1.93,0,394.39,449.47,-1.95,-55.1,-57.06,-6.386,25.5,-0.631,26.05,0.004
2845,1056756240,0,6246,-2.04,-0.01,394.33,449.04,-1.97,-54.67,-56.64,-6.363,25.46,-0.647,26.02,0.004
2846,1056756300,0,6247,-2,-0.01,394.16,448.69,-1.97,-54.58,-56.54,-6.362,25.42,-0.66,25.98,0.004
2847,1056756360,0,6248,-2.14,0,394.31,448.55,-2.08,-54.21,-56.3,-6.304,25.36,-0.644,25.92,0.008
2848,1056756420,0,6249,-2,0,394.83,448.98,-1.97,-54.15,-56.12,-6.238,25.35,-0.573,25.91,0
2849,1056756480,0,6250,-1.87,0.01,394.92,448.96,-1.86,-54.06,-55.93,-6.239,25.35,-0.59,25.91,0
2850,1056756540,0,6251,-1.72,0,395.12,449.38,-1.7,-54.28,-55.98,-6.237,25.38,-0.557,25.93,0
2851,1056756600,0,6252,-1.79,0,395.15,449.32,-1.77,-54.18,-55.95,-6.242,25.39,-0.581,25.94,0
2852,1056756660,0,6253,-1.81,0.01,395.08,449.43,-1.81,-54.37,-56.19,-6.251,25.41,-0.573,25.96,-0.004
2853,1056756720,0,6254,-1.82,0.005,395.425,449.72,-1.84,-54.46,-56.3,-6.243,25.44,-0.56,25.99,-0.009
2854,1056756780,0,6255,-1.85,0,395.495,449.67,-1.81,-54.22,-56.03,-6.249,25.46,-0.579,26.02,-0.004
2855,1056756840,0,6256,-1.945,0,395.495,449.63,-1.87,-54.13,-56,-6.258,25.48,-0.602,26.04,-0.004
2856,1056756900,0,6257,-1.985,-0.005,395.345,449.545,-2,-54.14,-56.14,-6.255,25.48,-0.595,26.04,0
2857,1056756960,0,6258,-1.97,0,395.215,449.61,-1.95,-54.28,-56.23,-6.291,25.48,-0.619,26.05,0
2858,1056757020,0,6259,-1.97,0.01,395.23,449.74,-1.98,-54.6,-56.58,-6.293,25.49,-0.584,26.05,0
2859,1056757080,0,6260,-2.02,0,395.38,450.07,-1.98,-54.65,-56.63,-6.289,25.51,-0.561,26.08,-0.004
2860,1056757140,0,6261,-1.76,0,395.13,449.81,-1.81,-54.71,-56.53,-6.332,25.53,-0.608,26.1,-0.004
2861,1056757200,0,6262,-1.91,-0.01,395.05,449.81,-1.91,-54.86,-56.77,-6.34,25.54,-0.616,26.11,0
2862,1056757260,0,6263,-1.97,0,395.23,450.1,-1.95,-54.87,-56.83,-6.334,25.55,-0.602,26.11,0
2863,1056757320,0,6264,-1.93,0,395.24,449.8,-1.95,-54.6,-56.55,-6.328,25.54,-0.626,26.11,0
2864,1056757380,0,6265,-1.87,0,395.26,449.49,-1.91,-54.29,-56.2,-6.3,25.53,-0.628,26.09,0
2865,1056757440,0,6266,-1.93,0,395.3,449.56,-1.95,-54.27,-56.21,-6.303,25.52,-0.627,26.08,0.004
2866,1056757500,0,6267,-2,0,395.27,449.36,-1.97,-54.06,-56.04,-6.285,25.49,-0.633,26.05,0
2867,1056757560,0,6268,-2.04,-0.02,395.41,449.46,-2,-54.05,-56.05,-6.261,25.48,-0.614,26.04,0
2868,1056757620,0,6269,-2.12,-0.01,395.33,449.51,-2.1,-54.14,-56.24,-6.267,25.46,-0.608,26.03,0.004
2869,1056757680,0,6270,-2.06,-0.01,395.34,449.54,-2.08,-54.21,-56.29,-6.258,25.44,-0.595,26.01,0.004
